I,Q
7.959337e-05,-1.4323577e-05
3.925724e-05,0.0001436816
-3.7945665e-05,0.00019990648
-0.00015549645,0.00023767806
-0.0002640026,0.00018042789
-0.00033288109,7.239636e-05
-0.0003150117,-5.805941e-05
-0.00019707711,-0.00014689004
1.1824332e-05,-0.0001501512
0.00026432343,-5.1937965e-05
0.0004950657,0.00011312578
0.0006352502,0.00027089208
0.0006398567,0.00032689044
0.0005068929,0.00020920813
0.00028473532,-9.944048e-05
5.948912e-05,-0.0005427145
-7.2084e-05,-0.0010015197
-3.3484022e-05,-0.0013296305
0.00020053779,-0.0014066872
0.00058131287,-0.0012058784
0.0010074605,-0.0007895754
0.0013395973,-0.00032986
0.0014535085,-2.2910375e-05
0.0012769492,-3.801918e-05
0.0008227598,-0.00042834773
0.0001916725,-0.0011041914
-0.00045997652,-0.0018425307
-0.0009552289,-0.0023548782
-0.0011484263,-0.0023882915
-0.0009758919,-0.0018315256
-0.00048001614,-0.00077548367
0.00020684669,0.0004978031
0.0009143725,0.0016049838
0.0014624419,0.002164997
0.0017109053,0.0019366939
0.0016112945,0.00092432206
0.001216619,-0.0006154062
0.0006441917,-0.0022614459
3.8228227e-05,-0.0035487441
-0.00044646964,-0.00411042
-0.0006978421,-0.0038216715
-0.00068038935,-0.0028480496
-0.00043433113,-0.0015808052
-5.4703516e-05,-0.00049239956
0.00033544435,2.7631844e-05
0.0006027373,-0.00019363014
0.0006269487,-0.0010526702
0.0003257946,-0.002198447
-0.00032291785,-0.0031550282
-0.001263379,-0.0034913418
-0.0023610475,-0.0029836376
-0.0034229592,-0.0017042254
-0.0042230585,4.8757474e-06
-0.0045410753,0.0016438543
-0.004220513,0.0027090923
-0.0032324607,0.0028670847
-0.0017057308,0.0020813071
8.589792e-05,0.00061969005
0.0017866585,-0.0010693495
0.003032622,-0.0025039422
0.0035241041,-0.0032606537
0.003148464,-0.0031444037
0.002006083,-0.0022646715
0.0003828423,-0.00096297177
-0.0013476305,0.00032721632
-0.0028498976,0.0012360917
-0.0039030067,0.001509547
-0.004486153,0.0011097346
-0.0047700573,0.00022505414
-0.005022041,-0.0008084731
-0.005466491,-0.0016111701
-0.006151377,-0.0018538369
-0.006875996,-0.0013334223
-0.007223143,-1.937353e-05
-0.0067019435,0.0019506493
-0.0049488842,0.0043022754
-0.0019127553,0.0066834604
0.0020701017,0.008711494
0.006268743,0.009985169
0.009642248,0.010171114
0.011138575,0.009119034
0.01012013,0.0069269254
0.006672315,0.0039339713
0.0015837126,0.0006628898
-0.004046942,-0.0022494101
-0.009167826,-0.004220606
-0.012553802,-0.004758829
-0.013464406,-0.0038127638
-0.0120728705,-0.0017126049
-0.009299917,0.00087366806
-0.0063676173,0.003125007
-0.0043380274,0.0042766593
-0.0038335922,0.0038553933
-0.0048269886,0.0018787493
-0.00667289,-0.0010875055
-0.008341809,-0.0041169105
-0.008772428,-0.0061470154
-0.0073355804,-0.006318847
-0.004265439,-0.0043238807
-0.00062200637,-0.0005778127
0.0022348303,0.0039125225
0.0031310436,0.007971222
0.0011263606,0.010298593
-0.0036955415,0.010088729
-0.010175118,0.0073605934
-0.016614873,0.0029189705
-0.021051088,-0.001959408
-0.021672172,-0.0057446
-0.017753396,-0.00704764
-0.010372773,-0.005175251
-0.0018605608,-0.00050586514
0.005575059,0.0056125475
0.010509558,0.011699262
0.011221867,0.015869252
0.0073418817,0.016652372
0.000341827,0.01355238
-0.0074496865,0.0073896754
-0.014112286,-0.00029386266
-0.018167276,-0.007782732
-0.018505143,-0.013161641
-0.015135517,-0.014826971
-0.009450334,-0.012201062
-0.003384573,-0.006006774
0.0016310912,0.002059052
0.0054785986,0.010256898
0.00838134,0.01674292
0.010651873,0.019525748
0.012823537,0.01751839
0.015390062,0.010959664
0.018421063,0.0010614903
0.021215668,-0.010791672
0.02240298,-0.023011582
0.020702858,-0.033289704
0.015872942,-0.039189037
0.008993323,-0.03942994
0.0019053444,-0.034533165
-0.0035169793,-0.026191447
-0.005886009,-0.016314251
-0.0046211197,-0.006670312
-0.0001775373,0.0012204471
0.0063449503,0.006362501
0.012906456,0.007944365
0.017072134,0.005830059
0.017100804,0.0009850165
0.013018943,-0.0052360967
0.0060693687,-0.011494422
-0.0020442235,-0.016678477
-0.009498396,-0.01988275
-0.014405805,-0.020693712
-0.015852012,-0.019375473
-0.0143123735,-0.01676551
-0.011211062,-0.013736729
-0.007991818,-0.011022355
-0.0054730433,-0.008964273
-0.0035546476,-0.007523317
-0.0013480323,-0.006385604
0.0023603262,-0.005180537
0.008523908,-0.0037199706
0.017291065,-0.002103218
0.027536238,-0.00076446537
0.036615573,-0.00021933821
0.040683173,-0.0006669448
0.03649221,-0.0018840714
0.024035878,-0.0037883536
0.006570679,-0.006417138
-0.01252539,-0.009073084
-0.03150539,-0.009910332
-0.045032658,-0.007673745
-0.046829905,-0.0032733453
-0.035905447,0.0018964048
-0.01785856,0.007607291
0.0017171511,0.013415303
0.02045985,0.017692171
0.034582756,0.01853443
0.03868767,0.015753537
0.03200689,0.010565437
0.019499427,0.004068042
0.0065206764,-0.002473487
-0.0035385215,-0.0076740207
-0.00856673,-0.010550735
-0.0069927,-0.010777655
-0.00021526459,-0.009044475
0.008587177,-0.0066988664
0.016425068,-0.0051583853
0.020495532,-0.0055303304
0.019188352,-0.008169125
0.013327403,-0.012710156
0.0053470074,-0.018269587
-0.0023887681,-0.023382494
-0.0076189516,-0.026330214
